Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   421482    0.263    0.000    0.394    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_util.py:992(is_tensor)
   558184    0.262    0.000    0.262    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    91407    0.259    0.000    0.471    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2772(__init__)
533547/533543    0.259    0.000    9.270    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:545(pack_sequence_as)
    23922    0.258    0.000   46.220    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/function.py:1844(_call_flat)
    22265    0.256    0.000    4.667    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/categorical.py:156(__init__)
43256/15322    0.253    0.000  136.771    0.009 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/common.py:178(with_check_resource_vars)
  2027540    0.253    0.000    0.253    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:828(dims)
    23360    0.248    0.000    0.248    0.000 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
   230443    0.246    0.000    1.690    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_array_ops.py:3915(identity)
    22263    0.242    0.000   84.107    0.004 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/tf_policy.py:542(_action)
   248152    0.238    0.000    1.023    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5639(init_scope)
